review_id,user_id,technician_id,rating_value,review_text,created_at,device_id,ip_address,service_status
1,124,12,5,Good,2026-04-07 01:00:00,DEV-FRAUD,192.168.1.228,completed
2,166,10,5,"This was a very professional service, thank you!",2026-04-10 16:00:00,DEV-4034,192.168.1.19,completed
3,176,20,1,"This was a very professional service, thank you!",2026-04-08 15:00:00,DEV-5270,192.168.1.185,completed
4,122,17,5,"This was a very professional service, thank you!",2026-04-11 19:00:00,DEV-8689,192.168.1.161,completed
5,154,11,1,"This was a very professional service, thank you!",2026-04-10 15:00:00,DEV-3683,192.168.1.218,completed
6,112,16,4,"This was a very professional service, thank you!",2026-04-04 08:00:00,DEV-7426,192.168.1.94,completed
7,137,15,5,Good,2026-04-08 04:00:00,DEV-FRAUD,192.168.1.132,pending
8,199,14,5,"This was a very professional service, thank you!",2026-04-05 19:00:00,DEV-4569,192.168.1.50,completed
9,142,14,5,Good,2026-04-10 05:00:00,DEV-FRAUD,192.168.1.82,pending
10,143,16,2,"This was a very professional service, thank you!",2026-04-09 15:00:00,DEV-4285,192.168.1.61,completed
11,140,13,3,"This was a very professional service, thank you!",2026-04-11 19:00:00,DEV-5971,192.168.1.206,completed
12,124,15,1,"This was a very professional service, thank you!",2026-04-03 19:00:00,DEV-5450,192.168.1.228,completed
13,175,11,2,"This was a very professional service, thank you!",2026-04-08 18:00:00,DEV-4064,192.168.1.37,completed
14,144,15,5,Good,2026-04-08 03:00:00,DEV-FRAUD,192.168.1.81,completed
15,100,11,3,"This was a very professional service, thank you!",2026-04-05 20:00:00,DEV-3949,192.168.1.115,completed
16,172,18,4,"This was a very professional service, thank you!",2026-04-06 19:00:00,DEV-7152,192.168.1.10,completed
17,101,13,3,"This was a very professional service, thank you!",2026-04-11 17:00:00,DEV-6674,192.168.1.95,completed
18,144,13,1,"This was a very professional service, thank you!",2026-04-07 19:00:00,DEV-7410,192.168.1.200,completed
19,155,16,5,Good,2026-04-06 05:00:00,DEV-FRAUD,192.168.1.224,pending
20,135,13,2,"This was a very professional service, thank you!",2026-04-08 14:00:00,DEV-6134,192.168.1.34,completed
21,125,13,4,"This was a very professional service, thank you!",2026-04-10 11:00:00,DEV-3045,192.168.1.214,completed
22,192,16,4,"This was a very professional service, thank you!",2026-04-08 19:00:00,DEV-6273,192.168.1.60,completed
23,122,10,2,"This was a very professional service, thank you!",2026-04-04 14:00:00,DEV-4696,192.168.1.213,completed
24,118,10,5,Good,2026-04-03 01:00:00,DEV-FRAUD,192.168.1.70,completed
25,191,14,5,Good,2026-04-04 01:00:00,DEV-FRAUD,192.168.1.229,completed
26,128,12,5,"This was a very professional service, thank you!",2026-04-07 11:00:00,DEV-2345,192.168.1.31,completed
27,170,10,3,"This was a very professional service, thank you!",2026-04-09 10:00:00,DEV-8456,192.168.1.144,completed
28,134,14,5,"This was a very professional service, thank you!",2026-04-03 18:00:00,DEV-8829,192.168.1.109,completed
29,140,18,3,"This was a very professional service, thank you!",2026-04-06 12:00:00,DEV-6194,192.168.1.145,completed
30,155,20,4,"This was a very professional service, thank you!",2026-04-09 09:00:00,DEV-5332,192.168.1.175,completed
31,105,11,5,Good,2026-04-05 05:00:00,DEV-FRAUD,192.168.1.113,pending
32,143,17,4,"This was a very professional service, thank you!",2026-04-11 15:00:00,DEV-1774,192.168.1.135,completed
33,144,12,3,"This was a very professional service, thank you!",2026-04-02 19:00:00,DEV-1011,192.168.1.213,completed
34,173,10,4,"This was a very professional service, thank you!",2026-04-10 14:00:00,DEV-4453,192.168.1.11,completed
35,136,11,5,Good,2026-04-03 05:00:00,DEV-FRAUD,192.168.1.145,completed
36,143,10,5,Good,2026-04-09 04:00:00,DEV-FRAUD,192.168.1.107,pending
37,129,12,2,"This was a very professional service, thank you!",2026-04-10 18:00:00,DEV-5223,192.168.1.56,completed
38,163,18,1,"This was a very professional service, thank you!",2026-04-08 12:00:00,DEV-5882,192.168.1.94,completed
39,115,15,2,"This was a very professional service, thank you!",2026-04-02 15:00:00,DEV-6159,192.168.1.118,completed
40,113,17,3,"This was a very professional service, thank you!",2026-04-08 10:00:00,DEV-5265,192.168.1.213,completed
41,194,16,2,"This was a very professional service, thank you!",2026-04-01 11:00:00,DEV-7602,192.168.1.94,completed
42,124,18,4,"This was a very professional service, thank you!",2026-04-09 17:00:00,DEV-8985,192.168.1.216,completed
43,159,10,1,"This was a very professional service, thank you!",2026-04-01 17:00:00,DEV-5965,192.168.1.229,completed
44,122,12,5,Good,2026-04-03 04:00:00,DEV-FRAUD,192.168.1.3,pending
45,161,14,4,"This was a very professional service, thank you!",2026-04-05 12:00:00,DEV-4333,192.168.1.220,completed
46,194,19,5,"This was a very professional service, thank you!",2026-04-01 08:00:00,DEV-3982,192.168.1.111,completed
47,191,13,1,"This was a very professional service, thank you!",2026-04-07 12:00:00,DEV-1899,192.168.1.207,completed
48,160,15,2,"This was a very professional service, thank you!",2026-04-06 08:00:00,DEV-7043,192.168.1.213,completed
49,123,12,3,"This was a very professional service, thank you!",2026-04-05 12:00:00,DEV-8123,192.168.1.9,completed
50,104,17,5,Good,2026-04-08 03:00:00,DEV-FRAUD,192.168.1.69,pending
51,117,11,4,"This was a very professional service, thank you!",2026-04-11 17:00:00,DEV-6293,192.168.1.9,completed
52,104,10,2,"This was a very professional service, thank you!",2026-04-06 16:00:00,DEV-5373,192.168.1.175,completed
53,180,17,5,Good,2026-04-08 02:00:00,DEV-FRAUD,192.168.1.25,completed
54,138,10,3,"This was a very professional service, thank you!",2026-04-08 16:00:00,DEV-7400,192.168.1.85,completed
55,121,14,4,"This was a very professional service, thank you!",2026-04-08 14:00:00,DEV-7088,192.168.1.219,completed
56,184,11,5,"This was a very professional service, thank you!",2026-04-09 17:00:00,DEV-4809,192.168.1.46,completed
57,139,12,1,"This was a very professional service, thank you!",2026-04-07 13:00:00,DEV-8939,192.168.1.16,completed
58,195,15,5,"This was a very professional service, thank you!",2026-04-07 16:00:00,DEV-1494,192.168.1.235,completed
59,157,13,5,Good,2026-04-08 02:00:00,DEV-FRAUD,192.168.1.89,completed
60,175,13,5,Good,2026-04-07 03:00:00,DEV-FRAUD,192.168.1.211,pending
61,185,12,5,Good,2026-04-03 02:00:00,DEV-FRAUD,192.168.1.107,pending
62,159,18,5,Good,2026-04-10 02:00:00,DEV-FRAUD,192.168.1.32,completed
63,107,17,2,"This was a very professional service, thank you!",2026-04-03 12:00:00,DEV-3830,192.168.1.60,completed
64,165,18,1,"This was a very professional service, thank you!",2026-04-11 13:00:00,DEV-5486,192.168.1.104,completed
65,147,11,4,"This was a very professional service, thank you!",2026-04-04 10:00:00,DEV-2234,192.168.1.95,completed
66,102,11,5,"This was a very professional service, thank you!",2026-04-09 20:00:00,DEV-6565,192.168.1.119,completed
67,154,17,5,Good,2026-04-06 03:00:00,DEV-FRAUD,192.168.1.69,pending
68,170,12,4,"This was a very professional service, thank you!",2026-04-08 20:00:00,DEV-8184,192.168.1.252,completed
69,100,15,4,"This was a very professional service, thank you!",2026-04-10 17:00:00,DEV-2222,192.168.1.239,completed
70,125,15,2,"This was a very professional service, thank you!",2026-04-09 15:00:00,DEV-8109,192.168.1.189,completed
71,183,13,3,"This was a very professional service, thank you!",2026-04-11 17:00:00,DEV-4115,192.168.1.8,completed
72,173,15,1,"This was a very professional service, thank you!",2026-04-10 13:00:00,DEV-3266,192.168.1.139,completed
73,183,15,5,"This was a very professional service, thank you!",2026-04-05 12:00:00,DEV-2771,192.168.1.76,completed
74,117,16,5,"This was a very professional service, thank you!",2026-04-11 08:00:00,DEV-4096,192.168.1.114,completed
75,179,18,5,"This was a very professional service, thank you!",2026-04-11 17:00:00,DEV-2695,192.168.1.204,completed
76,135,14,5,Good,2026-04-03 05:00:00,DEV-FRAUD,192.168.1.156,pending
77,103,11,5,"This was a very professional service, thank you!",2026-04-03 15:00:00,DEV-2593,192.168.1.92,completed
78,151,18,5,"This was a very professional service, thank you!",2026-04-08 12:00:00,DEV-4940,192.168.1.85,completed
79,188,19,2,"This was a very professional service, thank you!",2026-04-07 15:00:00,DEV-1593,192.168.1.188,completed
80,167,11,1,"This was a very professional service, thank you!",2026-04-08 16:00:00,DEV-6926,192.168.1.22,completed
81,149,20,3,"This was a very professional service, thank you!",2026-04-08 09:00:00,DEV-1408,192.168.1.104,completed
82,175,19,5,"This was a very professional service, thank you!",2026-04-05 08:00:00,DEV-4912,192.168.1.249,completed
83,113,20,2,"This was a very professional service, thank you!",2026-04-01 11:00:00,DEV-8896,192.168.1.84,completed
84,166,16,4,"This was a very professional service, thank you!",2026-04-07 18:00:00,DEV-4373,192.168.1.53,completed
85,200,19,5,Good,2026-04-07 03:00:00,DEV-FRAUD,192.168.1.224,completed
86,156,15,5,"This was a very professional service, thank you!",2026-04-09 16:00:00,DEV-1488,192.168.1.244,completed
87,147,13,5,Good,2026-04-11 04:00:00,DEV-FRAUD,192.168.1.139,pending
88,134,18,1,"This was a very professional service, thank you!",2026-04-10 14:00:00,DEV-5240,192.168.1.195,completed
89,130,13,3,"This was a very professional service, thank you!",2026-04-07 14:00:00,DEV-8500,192.168.1.206,completed
90,190,16,1,"This was a very professional service, thank you!",2026-04-05 20:00:00,DEV-3064,192.168.1.101,completed
91,149,12,3,"This was a very professional service, thank you!",2026-04-06 11:00:00,DEV-1790,192.168.1.110,completed
92,172,18,5,"This was a very professional service, thank you!",2026-04-04 19:00:00,DEV-6321,192.168.1.171,completed
93,147,13,1,"This was a very professional service, thank you!",2026-04-05 14:00:00,DEV-8943,192.168.1.46,completed
94,147,11,5,Good,2026-04-09 05:00:00,DEV-FRAUD,192.168.1.11,completed
95,134,19,2,"This was a very professional service, thank you!",2026-04-01 19:00:00,DEV-7802,192.168.1.109,completed
96,195,11,1,"This was a very professional service, thank you!",2026-04-08 19:00:00,DEV-7831,192.168.1.130,completed
97,188,13,5,"This was a very professional service, thank you!",2026-04-05 08:00:00,DEV-5468,192.168.1.7,completed
98,149,10,4,"This was a very professional service, thank you!",2026-04-03 11:00:00,DEV-3038,192.168.1.73,completed
99,144,18,3,"This was a very professional service, thank you!",2026-04-09 13:00:00,DEV-7688,192.168.1.150,completed
100,154,15,3,"This was a very professional service, thank you!",2026-04-03 19:00:00,DEV-5338,192.168.1.140,completed
101,176,18,4,"This was a very professional service, thank you!",2026-04-03 17:00:00,DEV-2368,192.168.1.78,completed
102,109,19,5,"This was a very professional service, thank you!",2026-04-07 10:00:00,DEV-1272,192.168.1.215,completed
103,101,19,5,Good,2026-04-07 05:00:00,DEV-FRAUD,192.168.1.96,pending
104,195,11,5,Good,2026-04-11 02:00:00,DEV-FRAUD,192.168.1.123,completed
